n,N,bound of B.3,bound of B.4,k
125,4060,6,7,6
125,4061,6,7,6
125,4062,6,7,6
125,4063,6,7,6
125,4064,6,7,6
125,4065,6,7,6
125,4066,6,7,6
125,4067,6,7,6
125,4068,6,7,6
125,4069,6,7,6
125,4070,6,7,6
125,4071,6,7,6
125,4072,6,7,6
125,4073,6,7,6
125,4074,6,7,6
125,4075,6,7,6
125,4076,6,7,6
125,4077,6,7,6
125,4078,6,7,6
125,4079,6,7,6
125,4080,6,7,6
125,4081,6,7,6
125,4082,6,7,6
125,4083,6,7,6
125,4084,6,7,6
125,4085,6,7,6
125,4086,6,7,6
125,4087,6,7,6
125,4088,6,7,6
125,4089,6,7,6
125,4090,6,7,6
125,4091,6,7,6
125,4092,6,7,6
125,4093,6,7,6
125,4094,6,7,6
125,4095,6,7,6
125,4096,6,7,6
125,4097,6,7,6
125,4098,6,7,6
125,4099,6,7,6
125,4100,6,7,6
125,4101,6,7,6
125,4102,6,7,6
125,4103,6,7,6
125,4104,6,7,6
125,4105,6,7,6
125,4106,6,7,6
125,4107,6,7,6
125,4108,6,7,6
125,4109,6,7,6
125,4110,6,7,6
125,4111,6,7,6
125,4112,6,7,6
125,4113,6,7,6
125,4114,125,7,7
125,4115,125,7,7
125,4116,6,7,6
125,4117,125,7,7
125,4118,125,7,7
125,4119,6,7,6
125,4120,6,7,6
125,4121,6,7,6
125,4122,6,7,6
125,4123,6,7,6
125,4124,6,7,6
125,4125,6,7,6
125,4126,6,7,6
125,4127,6,7,6
125,4128,6,7,6
125,4129,6,7,6
125,4130,6,7,6
125,4131,6,7,6
125,4132,6,7,6
125,4133,6,7,6
125,4134,6,7,6
125,4135,6,7,6
125,4136,6,7,6
125,4137,6,7,6
125,4138,6,7,6
125,4139,6,7,6
125,4140,6,7,6
125,4141,6,7,6
125,4142,6,7,6
125,4143,6,7,6
125,4144,6,7,6
125,4145,6,7,6
125,4146,6,7,6
125,4147,6,7,6
125,4148,6,7,6
125,4149,6,7,6
125,4150,6,7,6
125,4151,6,7,6
125,4152,6,7,6
125,4153,6,7,6
125,4154,6,7,6
125,4155,6,7,6
125,4156,6,7,6
125,4157,6,7,6
125,4158,6,7,6
125,4159,6,7,6
125,4160,6,7,6
125,4161,6,7,6
125,4162,6,7,6
125,4163,6,7,6
125,4164,6,7,6
125,4165,6,7,6
125,4166,6,7,6
125,4167,6,7,6
125,4168,6,7,6
125,4169,6,7,6
125,4170,6,7,6
125,4171,6,7,6
125,4172,6,7,6
125,4173,6,7,6
125,4174,6,7,6
125,4175,6,7,6
125,4176,6,7,6
125,4177,6,7,6
125,4178,6,7,6
125,4179,6,7,6
125,4180,6,7,6
125,4181,6,7,6
125,4182,6,7,6
125,4183,6,7,6
125,4184,6,7,6
125,4185,6,7,6
125,4186,6,7,6
125,4187,6,7,6
125,4188,6,7,6
125,4189,6,7,6
125,4190,6,7,6
125,4191,6,7,6
125,4192,6,7,6
125,4193,6,7,6
125,4194,6,7,6
125,4195,6,7,6
125,4196,6,7,6
125,4197,6,7,6
125,4198,6,7,6
125,4199,6,7,6
125,4200,6,7,6
125,4201,6,7,6
125,4202,6,7,6
125,4203,6,7,6
125,4204,6,7,6
125,4205,6,7,6
125,4206,6,7,6
125,4207,6,7,6
125,4208,6,7,6
125,4209,6,7,6
125,4210,6,7,6
125,4211,6,7,6
125,4212,6,7,6
125,4213,6,7,6
125,4214,6,7,6
125,4215,6,7,6
125,4216,6,7,6
125,4217,6,7,6
125,4218,6,7,6
125,4219,6,7,6
125,4220,6,7,6
125,4221,6,7,6
125,4222,6,7,6
125,4223,6,7,6
125,4224,6,7,6
125,4225,6,7,6
125,4226,6,7,6
125,4227,6,7,6
125,4228,6,7,6
125,4229,6,7,6
125,4230,6,7,6
125,4231,6,7,6
125,4232,6,7,6
125,4233,6,7,6
125,4234,6,7,6
125,4235,6,7,6
125,4236,6,7,6
125,4237,6,7,6
125,4238,6,7,6
125,4239,6,7,6
125,4240,6,7,6
125,4241,6,7,6
125,4242,6,7,6
125,4243,6,7,6
125,4244,6,7,6
125,4245,6,7,6
125,4246,6,7,6
125,4247,6,7,6
125,4248,6,7,6
125,4249,6,7,6
125,4250,6,7,6
125,4251,6,7,6
125,4252,6,7,6
125,4253,6,7,6
125,4254,6,7,6
125,4255,6,7,6
125,4256,6,7,6
125,4257,6,7,6
125,4258,6,7,6
125,4259,6,7,6
125,4260,6,7,6
125,4261,6,7,6
125,4262,6,7,6
125,4263,6,7,6
125,4264,6,7,6
125,4265,6,7,6
125,4266,6,7,6
125,4267,6,7,6
125,4268,6,7,6
125,4269,6,7,6
125,4270,6,7,6
125,4271,6,7,6
125,4272,6,7,6
125,4273,6,7,6
125,4274,6,7,6
125,4275,6,7,6
125,4276,6,7,6
125,4277,6,7,6
125,4278,6,7,6
125,4279,6,7,6
125,4280,6,7,6
125,4281,6,7,6
125,4282,6,7,6
125,4283,6,7,6
125,4284,6,7,6
125,4285,6,7,6
125,4286,6,7,6
125,4287,6,7,6
125,4288,6,7,6
125,4289,6,7,6
125,4290,6,7,6
125,4291,6,7,6
125,4292,6,7,6
125,4293,6,7,6
125,4294,6,7,6
125,4295,6,7,6
125,4296,6,7,6
125,4297,6,7,6
125,4298,6,7,6
125,4299,6,7,6
125,4300,6,7,6
125,4301,6,7,6
125,4302,6,7,6
125,4303,6,7,6
125,4304,6,7,6
125,4305,6,7,6
125,4306,6,7,6
125,4307,6,7,6
125,4308,6,7,6
125,4309,6,7,6
125,4310,6,7,6
125,4311,6,7,6
125,4312,6,7,6
125,4313,6,7,6
125,4314,6,7,6
125,4315,6,7,6
125,4316,6,7,6
125,4317,6,7,6
125,4318,6,7,6
125,4319,6,7,6
125,4320,6,7,6
125,4321,6,7,6
125,4322,6,7,6
125,4323,6,7,6
125,4324,6,7,6
125,4325,6,7,6
125,4326,6,7,6
125,4327,6,7,6
125,4328,6,7,6
125,4329,6,7,6
125,4330,6,7,6
125,4331,6,7,6
125,4332,6,7,6
125,4333,6,7,6
125,4334,6,7,6
125,4335,6,7,6
125,4336,6,7,6
125,4337,6,7,6
125,4338,6,7,6
125,4339,6,7,6
125,4340,6,7,6
125,4341,6,7,6
125,4342,6,7,6
125,4343,6,7,6
125,4344,6,7,6
125,4345,6,7,6
125,4346,6,7,6
125,4347,6,7,6
125,4348,6,7,6
125,4349,6,7,6
125,4350,6,7,6
125,4351,6,7,6
125,4352,6,7,6
125,4353,6,7,6
125,4354,6,7,6
125,4355,6,7,6
125,4356,6,7,6
125,4357,6,7,6
125,4358,6,7,6
125,4359,6,7,6
125,4360,6,7,6
125,4361,6,7,6
125,4362,6,7,6
125,4363,6,7,6
125,4364,6,7,6
125,4365,6,7,6
125,4366,6,7,6
125,4367,6,7,6
125,4368,6,7,6
125,4369,6,7,6
125,4370,6,7,6
125,4371,6,7,6
125,4372,6,7,6
125,4373,6,7,6
125,4374,6,7,6
125,4375,6,7,6
125,4376,6,7,6
125,4377,6,7,6
125,4378,6,7,6
125,4379,6,7,6
125,4380,6,7,6
125,4381,6,7,6
125,4382,6,7,6
125,4383,6,7,6
125,4384,6,7,6
125,4385,6,7,6
125,4386,6,7,6
125,4387,6,7,6
125,4388,6,7,6
125,4389,6,7,6
125,4390,6,7,6
125,4391,6,7,6
125,4392,6,7,6
125,4393,6,7,6
125,4394,6,7,6
125,4395,6,7,6
125,4396,6,7,6
125,4397,6,7,6
125,4398,6,7,6
125,4399,6,7,6
125,4400,6,7,6
125,4401,6,7,6
125,4402,6,7,6
125,4403,6,7,6
125,4404,6,7,6
125,4405,6,7,6
125,4406,6,7,6
125,4407,6,7,6
125,4408,6,7,6
125,4409,6,7,6
125,4410,6,7,6
125,4411,6,7,6
125,4412,6,7,6
125,4413,6,7,6
125,4414,6,7,6
125,4415,6,7,6
125,4416,6,7,6
125,4417,6,7,6
125,4418,6,7,6
125,4419,6,7,6
125,4420,6,7,6
125,4421,6,7,6
125,4422,6,7,6
125,4423,6,7,6
125,4424,6,7,6
125,4425,6,7,6
125,4426,6,7,6
125,4427,6,7,6
125,4428,6,7,6
125,4429,6,7,6
125,4430,6,7,6
125,4431,6,7,6
125,4432,6,7,6
125,4433,6,7,6
125,4434,6,7,6
125,4435,6,7,6
125,4436,6,7,6
125,4437,6,7,6
125,4438,6,7,6
125,4439,6,7,6
125,4440,6,7,6
125,4441,6,7,6
125,4442,6,7,6
125,4443,6,7,6
125,4444,6,7,6
125,4445,6,7,6
125,4446,6,7,6
125,4447,6,7,6
125,4448,6,7,6
125,4449,6,7,6
125,4450,6,7,6
125,4451,6,7,6
125,4452,6,7,6
125,4453,6,7,6
125,4454,6,7,6
125,4455,6,7,6
125,4456,6,7,6
125,4457,6,7,6
125,4458,6,7,6
125,4459,6,7,6
125,4460,6,7,6
125,4461,6,7,6
125,4462,6,7,6
125,4463,6,7,6
125,4464,6,7,6
125,4465,6,7,6
125,4466,6,7,6
125,4467,6,7,6
125,4468,6,7,6
125,4469,6,7,6
125,4470,6,7,6
125,4471,6,7,6
125,4472,6,7,6
125,4473,6,7,6
125,4474,6,7,6
125,4475,6,7,6
125,4476,6,7,6
125,4477,6,7,6
125,4478,6,7,6
125,4479,6,7,6
125,4480,6,7,6
125,4481,6,7,6
125,4482,6,7,6
125,4483,6,7,6
125,4484,6,7,6
125,4485,6,7,6
125,4486,6,7,6
125,4487,6,7,6
125,4488,6,7,6
125,4489,6,7,6
125,4490,6,7,6
125,4491,6,7,6
125,4492,6,7,6
125,4493,6,7,6
125,4494,6,7,6
125,4495,6,7,6
125,4496,6,7,6
125,4497,6,7,6
125,4498,6,7,6
125,4499,6,7,6
125,4500,6,7,6
125,4501,6,7,6
125,4502,6,7,6
125,4503,6,7,6
125,4504,6,7,6
125,4505,6,7,6
125,4506,6,7,6
125,4507,6,7,6
125,4508,6,7,6
125,4509,6,7,6
125,4510,6,7,6
125,4511,6,7,6
125,4512,6,7,6
125,4513,6,7,6
125,4514,6,7,6
125,4515,6,7,6
125,4516,6,7,6
125,4517,6,7,6
125,4518,6,7,6
125,4519,6,7,6
125,4520,6,7,6
125,4521,6,7,6
125,4522,6,7,6
125,4523,6,7,6
125,4524,6,7,6
125,4525,6,7,6
125,4526,6,7,6
125,4527,6,7,6
125,4528,6,7,6
125,4529,6,7,6
125,4530,6,7,6
125,4531,6,7,6
125,4532,6,7,6
125,4533,6,7,6
125,4534,6,7,6
125,4535,6,7,6
125,4536,6,7,6
125,4537,6,7,6
125,4538,6,7,6
125,4539,6,7,6
125,4540,6,7,6
125,4541,6,7,6
125,4542,6,7,6
125,4543,6,7,6
125,4544,6,7,6
125,4545,6,7,6
125,4546,6,7,6
125,4547,6,7,6
125,4548,6,7,6
125,4549,6,7,6
125,4550,6,7,6
125,4551,6,7,6
125,4552,6,7,6
125,4553,6,7,6
125,4554,6,7,6
125,4555,6,7,6
125,4556,6,7,6
125,4557,6,7,6
125,4558,6,7,6
125,4559,6,7,6
125,4560,6,7,6
125,4561,6,7,6
125,4562,6,7,6
125,4563,6,7,6
125,4564,6,7,6
125,4565,6,7,6
125,4566,6,7,6
125,4567,6,7,6
125,4568,6,7,6
125,4569,6,7,6
125,4570,6,7,6
125,4571,6,7,6
125,4572,6,7,6
125,4573,6,7,6
125,4574,6,7,6
125,4575,6,7,6
125,4576,6,7,6
125,4577,6,7,6
125,4578,6,7,6
125,4579,6,7,6
125,4580,6,7,6
125,4581,6,7,6
125,4582,6,7,6
125,4583,6,7,6
125,4584,6,7,6
125,4585,6,7,6
125,4586,6,7,6
125,4587,6,7,6
125,4588,6,7,6
125,4589,6,7,6
125,4590,6,7,6
125,4591,6,7,6
125,4592,6,7,6
125,4593,6,7,6
125,4594,6,7,6
125,4595,6,7,6
125,4596,6,7,6
125,4597,6,7,6
125,4598,6,7,6
125,4599,6,7,6
125,4600,6,7,6
125,4601,6,7,6
125,4602,6,7,6
125,4603,6,7,6
125,4604,6,7,6
125,4605,6,7,6
125,4606,6,7,6
125,4607,6,7,6
125,4608,6,7,6
125,4609,6,7,6
125,4610,6,7,6
125,4611,6,7,6
125,4612,6,7,6
125,4613,6,7,6
125,4614,6,7,6
125,4615,6,7,6
125,4616,6,7,6
125,4617,6,7,6
125,4618,6,7,6
125,4619,6,7,6
125,4620,6,7,6
125,4621,6,7,6
125,4622,6,7,6
125,4623,6,7,6
125,4624,6,7,6
125,4625,6,7,6
125,4626,6,7,6
125,4627,6,7,6
125,4628,6,7,6
125,4629,6,7,6
125,4630,6,7,6
125,4631,6,7,6
125,4632,6,7,6
125,4633,6,7,6
125,4634,6,7,6
125,4635,6,7,6
125,4636,6,7,6
125,4637,6,7,6
125,4638,6,7,6
125,4639,6,7,6
125,4640,6,7,6
125,4641,6,7,6
125,4642,6,7,6
125,4643,6,7,6
125,4644,6,7,6
125,4645,6,7,6
125,4646,6,7,6
125,4647,6,7,6
125,4648,6,7,6
125,4649,6,7,6
125,4650,6,7,6
125,4651,6,7,6
125,4652,6,7,6
125,4653,6,7,6
125,4654,6,7,6
125,4655,6,7,6
125,4656,6,7,6
125,4657,6,7,6
125,4658,6,7,6
125,4659,6,7,6
125,4660,6,7,6
125,4661,6,7,6
125,4662,6,7,6
125,4663,6,7,6
125,4664,6,7,6
125,4665,6,7,6
125,4666,6,7,6
125,4667,6,7,6
125,4668,6,7,6
125,4669,6,7,6
125,4670,6,7,6
125,4671,6,7,6
125,4672,6,7,6
125,4673,6,7,6
125,4674,6,7,6
125,4675,6,7,6
125,4676,6,7,6
125,4677,6,7,6
125,4678,6,7,6
125,4679,6,7,6
125,4680,6,7,6
125,4681,6,7,6
125,4682,6,7,6
125,4683,6,7,6
125,4684,6,7,6
125,4685,6,7,6
125,4686,6,7,6
125,4687,6,7,6
125,4688,6,7,6
125,4689,6,7,6
125,4690,6,7,6
125,4691,6,7,6
125,4692,6,7,6
125,4693,6,7,6
125,4694,6,7,6
125,4695,6,7,6
125,4696,6,7,6
125,4697,6,7,6
125,4698,6,7,6
125,4699,6,7,6
125,4700,6,7,6
125,4701,6,7,6
125,4702,6,7,6
125,4703,6,7,6
125,4704,6,7,6
125,4705,6,7,6
125,4706,6,7,6
125,4707,6,7,6
125,4708,6,7,6
125,4709,6,7,6
125,4710,6,7,6
125,4711,6,7,6
125,4712,6,8,6
125,4713,6,7,6
125,4714,6,7,6
125,4715,6,7,6
125,4716,6,7,6
125,4717,6,7,6
125,4718,6,7,6
125,4719,6,7,6
125,4720,6,7,6
125,4721,6,7,6
125,4722,6,7,6
125,4723,6,7,6
125,4724,6,7,6
125,4725,6,7,6
125,4726,6,7,6
125,4727,6,7,6
125,4728,6,7,6
125,4729,6,7,6
125,4730,6,7,6
125,4731,6,7,6
125,4732,6,7,6
125,4733,6,7,6
125,4734,6,7,6
125,4735,6,7,6
125,4736,6,7,6
125,4737,6,7,6
125,4738,6,7,6
125,4739,6,7,6
125,4740,6,7,6
125,4741,6,7,6
125,4742,6,7,6
125,4743,6,7,6
125,4744,6,7,6
125,4745,6,7,6
125,4746,6,7,6
125,4747,6,7,6
125,4748,6,7,6
125,4749,6,7,6
125,4750,6,7,6
125,4751,6,7,6
125,4752,6,7,6
125,4753,6,7,6
125,4754,6,7,6
125,4755,6,7,6
125,4756,6,7,6
125,4757,6,7,6
125,4758,6,7,6
125,4759,6,7,6
125,4760,6,7,6
125,4761,6,7,6
125,4762,6,7,6
125,4763,6,7,6
125,4764,6,7,6
125,4765,6,7,6
125,4766,6,7,6
125,4767,6,7,6
125,4768,6,7,6
125,4769,6,7,6
125,4770,6,8,6
125,4771,6,7,6
125,4772,6,7,6
125,4773,6,7,6
125,4774,6,7,6
125,4775,6,7,6
125,4776,6,7,6
125,4777,6,7,6
125,4778,6,7,6
125,4779,6,7,6
125,4780,6,7,6
125,4781,6,7,6
125,4782,6,7,6
125,4783,6,7,6
125,4784,6,7,6
125,4785,6,7,6
125,4786,6,7,6
125,4787,6,7,6
125,4788,6,7,6
125,4789,6,7,6
125,4790,6,7,6
125,4791,6,7,6
125,4792,6,7,6
125,4793,6,7,6
125,4794,6,7,6
125,4795,6,7,6
125,4796,6,7,6
125,4797,6,7,6
125,4798,6,7,6
125,4799,6,7,6
125,4800,6,7,6
125,4801,6,7,6
125,4802,6,7,6
125,4803,6,7,6
125,4804,6,7,6
125,4805,6,7,6
125,4806,6,7,6
125,4807,6,7,6
125,4808,6,7,6
125,4809,6,7,6
125,4810,6,7,6
125,4811,6,7,6
125,4812,6,7,6
125,4813,6,7,6
125,4814,6,7,6
125,4815,6,7,6
125,4816,6,7,6
125,4817,6,7,6
125,4818,6,7,6
125,4819,6,7,6
125,4820,6,7,6
125,4821,6,7,6
125,4822,6,7,6
125,4823,6,7,6
125,4824,6,7,6
125,4825,6,7,6
125,4826,6,7,6
125,4827,6,7,6
125,4828,6,7,6
125,4829,6,7,6
125,4830,6,7,6
125,4831,6,7,6
125,4832,6,7,6
125,4833,6,7,6
125,4834,6,7,6
125,4835,6,7,6
125,4836,6,7,6
125,4837,6,7,6
125,4838,6,7,6
125,4839,6,7,6
125,4840,6,7,6
125,4841,6,7,6
125,4842,6,7,6
125,4843,6,7,6
125,4844,6,7,6
125,4845,6,7,6
125,4846,6,7,6
125,4847,6,7,6
125,4848,6,7,6
125,4849,6,7,6
125,4850,6,7,6
125,4851,6,7,6
125,4852,6,7,6
125,4853,6,7,6
125,4854,6,7,6
125,4855,6,7,6
125,4856,6,7,6
125,4857,6,7,6
125,4858,6,7,6
125,4859,6,7,6
125,4860,6,7,6
125,4861,6,7,6
125,4862,6,7,6
125,4863,6,7,6
125,4864,6,7,6
125,4865,6,7,6
125,4866,6,7,6
125,4867,6,7,6
125,4868,6,7,6
125,4869,6,7,6
125,4870,6,7,6
125,4871,6,7,6
125,4872,6,7,6
125,4873,6,7,6
125,4874,6,7,6
125,4875,6,7,6
125,4876,6,7,6
125,4877,6,7,6
125,4878,6,7,6
125,4879,6,7,6
125,4880,6,7,6
125,4881,6,7,6
125,4882,6,7,6
125,4883,6,7,6
125,4884,6,7,6
125,4885,6,7,6
125,4886,6,7,6
125,4887,6,7,6
125,4888,6,7,6
125,4889,6,7,6
125,4890,6,7,6
125,4891,6,7,6
125,4892,6,7,6
125,4893,6,7,6
125,4894,6,7,6
125,4895,6,7,6
125,4896,6,7,6
125,4897,6,7,6
125,4898,6,7,6
125,4899,6,7,6
125,4900,6,7,6
125,4901,6,7,6
125,4902,6,7,6
125,4903,6,7,6
125,4904,6,7,6
125,4905,6,7,6
125,4906,6,7,6
125,4907,6,7,6
125,4908,6,7,6
125,4909,6,7,6
125,4910,6,7,6
125,4911,6,7,6
125,4912,6,7,6
125,4913,6,7,6
125,4914,6,7,6
125,4915,6,7,6
125,4916,6,7,6
125,4917,6,7,6
125,4918,6,7,6
125,4919,6,7,6
125,4920,6,7,6
125,4921,6,7,6
125,4922,6,7,6
125,4923,6,7,6
125,4924,6,7,6
125,4925,6,7,6
125,4926,6,7,6
125,4927,6,7,6
125,4928,6,7,6
125,4929,6,7,6
125,4930,6,7,6
125,4931,6,7,6
125,4932,6,7,6
125,4933,6,7,6
125,4934,6,7,6
125,4935,6,7,6
125,4936,6,7,6
125,4937,6,7,6
125,4938,6,7,6
125,4939,6,7,6
125,4940,6,7,6
125,4941,6,7,6
125,4942,6,7,6
125,4943,6,7,6
125,4944,6,7,6
125,4945,6,7,6
125,4946,6,7,6
125,4947,6,7,6
125,4948,6,7,6
125,4949,6,7,6
125,4950,6,7,6
125,4951,6,7,6
125,4952,6,7,6
125,4953,6,7,6
125,4954,6,7,6
125,4955,6,7,6
125,4956,6,7,6
125,4957,6,7,6
125,4958,6,7,6
125,4959,6,7,6
125,4960,6,7,6
125,4961,6,7,6
125,4962,6,7,6
125,4963,6,7,6
125,4964,6,7,6
125,4965,6,7,6
125,4966,6,7,6
125,4967,6,7,6
125,4968,6,7,6
125,4969,6,7,6
125,4970,6,7,6
125,4971,6,7,6
125,4972,6,7,6
125,4973,6,7,6
125,4974,6,7,6
125,4975,6,7,6
125,4976,6,7,6
125,4977,6,7,6
125,4978,6,7,6
125,4979,6,7,6
125,4980,6,7,6
125,4981,6,7,6
125,4982,6,7,6
125,4983,6,7,6
125,4984,6,7,6
125,4985,6,7,6
125,4986,6,7,6
125,4987,6,7,6
125,4988,6,7,6
125,4989,6,7,6
125,4990,6,7,6
125,4991,6,7,6
125,4992,6,7,6
125,4993,6,7,6
125,4994,6,7,6
125,4995,6,7,6
125,4996,6,7,6
125,4997,6,7,6
125,4998,6,7,6
125,4999,6,7,6
125,5000,6,7,6
